dataset,method,seed,asset,subset,n,horizon,mse,mae,mape
news,Time-MoE,0,ETH,all,2184,21,0.0019929674600097287,0.03425865066689647,3.3776044806733947
news,Time-MoE,0,ETH,all,2184,22,0.002085515990851253,0.035029838626824246,3.4513153314043885
news,Time-MoE,0,ETH,all,2184,23,0.0021774524936305707,0.035793128897284955,3.524281251869485
news,Time-MoE,0,ETH,all,2184,24,0.0022727459267604345,0.036574642261087136,3.599156902466571
news,Time-MoE,0,ETH,event,10,1,2.1014230384878576e-05,0.0037165097771694857,0.3718018673613563
news,Time-MoE,0,ETH,event,10,2,0.00017455250846049204,0.008127203254196058,0.7999795150307283
news,Time-MoE,0,ETH,event,10,3,0.0001553410933929528,0.009029009397583465,0.893201685191784
news,Time-MoE,0,ETH,event,10,4,0.00021186537319660566,0.010924185031084388,1.0789021174548221
news,Time-MoE,0,ETH,event,10,5,0.00045911338111227757,0.017711543877538927,1.7408138390943466
news,Time-MoE,0,ETH,event,10,6,0.0005536906924286147,0.019197548714593848,1.8831213040318358
news,Time-MoE,0,ETH,event,10,7,0.0007228315005857053,0.022605414298881042,2.21199187730088
news,Time-MoE,0,ETH,event,10,8,0.0008650488933202316,0.0239201636847756,2.347356069378054
news,Time-MoE,0,ETH,event,10,9,0.0010847256759321051,0.0269959234111083,2.6565097201177124
news,Time-MoE,0,ETH,event,10,10,0.0012695758747795446,0.026447687848169022,2.576834236385573
news,Time-MoE,0,ETH,event,10,11,0.0014321465512683452,0.028469745318517405,2.772005042524289
news,Time-MoE,0,ETH,event,10,12,0.0017805523839858554,0.03305189193857864,3.217149160147558
news,Time-MoE,0,ETH,event,10,13,0.0016796708360744424,0.03328757667421924,3.245313870231283
news,Time-MoE,0,ETH,event,10,14,0.0016705548294545704,0.03192419533490165,3.0993070758067516
news,Time-MoE,0,ETH,event,10,15,0.0018184203137136148,0.033385583510335604,3.2323682422754167
news,Time-MoE,0,ETH,event,10,16,0.001896526230848217,0.03385068377438825,3.273231893990882
news,Time-MoE,0,ETH,event,10,17,0.0021978351630272267,0.036830754139946895,3.554307435075368
news,Time-MoE,0,ETH,event,10,18,0.002184772730859483,0.038381344545233384,3.7186081691086
news,Time-MoE,0,ETH,event,10,19,0.00222294822133942,0.03851444666704453,3.7243388827216393
news,Time-MoE,0,ETH,event,10,20,0.0022497348633778867,0.03790664598482217,3.6620431349126554
news,Time-MoE,0,ETH,event,10,21,0.0028490671438643417,0.03953833994743931,3.7857136294622498
news,Time-MoE,0,ETH,event,10,22,0.0028651284779342588,0.04058290347636182,3.889148790658477
news,Time-MoE,0,ETH,event,10,23,0.002811563032507414,0.04050541683311086,3.8925959485795447
news,Time-MoE,0,ETH,event,10,24,0.0031892799600970927,0.0432383699456117,4.1712229536303935
news,Time-MoE,0,SOL,all,2184,1,6.990101890297259e-05,0.006021467194528691,0.6018437163746002
news,Time-MoE,0,SOL,all,2184,2,0.00015217571944711882,0.00905247092297344,0.9042810739156045
news,Time-MoE,0,SOL,all,2184,3,0.00023924314655135733,0.011539403359959087,1.152234828798609
news,Time-MoE,0,SOL,all,2184,4,0.0003326674674306019,0.01371814676093293,1.368793676686024
